051256849-36;Renato B E Lacerda;RLace051;Lac300
061563113-43;Eric D B Mayrink;EMayr061;May176
060194314-90;Arthur F F Gomes;AGome060;Gom579
043832840-27;Davi F E Leão;DLeão043;Leã399
052025660-44;Joao A C Souza;JSouz052;Sou827
040053499-34;Helena A F Braga;HBrag040;Bra564
073786568-31;Ana E E Souza;ASouz073;Sou263
089029664-25;Hugo G A Nunes;HNune089;Nun312
076610908-34;Raissa G A Lutkenhaus;RLutk076;Lut158
103417652-97;Erckson C D Mozany;EMoza103;Moz977
074870523-99;Stephany F F Pires;SPire074;Pir342
086043633-73;Eric D D Cruz;ECruz086;Cru519
081344227-71;Clarissa D B Gomes;CGome081;Gom546
056195321-33;Gustavo C G Fernandes;GFern056;Fer403
083619237-88;Raissa G F Borges;RBorg083;Bor914
050454878-26;Eric E B Batista;EBati050;Bat383
064091148-97;Dario C A Lima;DLima064;Lim371
042666844-45;Helena E G Amaral;HAmar042;Ama270
112222253-48;Hugo A G Ramos;HRamo112;Ram610
071769511-29;Petrônio G F Santos;PSant071;San436
061717617-88;Guilherme G B Amaral;GAmar061;Ama636
050856442-42;Felipe D E Batista;FBati050;Bat157
113487177-91;Hugo E B Moreira;HMore113;Mor705
077197221-70;Joao G A Batista;JBati077;Bat334
103221344-99;Vinicius G B Nascimento;VNasc103;Nas249
042261198-55;Clarissa B C Ramos;CRamo042;Ram757
048773237-02;Erckson G D Mozany;EMoza048;Moz781
044930105-79;Lucas A D Assis;LAssi044;Ass292
091210933-00;Maria D C Santos;MSant091;San954
060637985-15;Larissa B B Santos;LSant060;San869
045122835-41;Carlos D G Vianna;CVian045;Via878
058840246-43;Daniel C B Lutkenhaus;DLutk058;Lut818
062283072-98;Joao D A Santos;JSant062;San139
098074957-06;Stephanie A E Viçoso;SViço098;Viç219
051779839-44;Fabio F F Abdalla;FAbda051;Abd523
080393578-48;Dario E E Lutkenhaus;DLutk080;Lut540
090151979-71;Hugo D C Leite;HLeit090;Lei287
099871428-12;Dario A E Viçoso;DViço099;Viç363
059451703-40;Helena D G Viçoso;HViço059;Viç964
045182563-09;Gabriel D D Gomes;GGome045;Gom503
070544622-48;Raissa G C Vianna;RVian070;Via109
099668798-53;Carlos G D Viçoso;CViço099;Viç734
040366438-59;Ronilson B G Vianna;RVian040;Via926
104341840-87;Davi B B Matos;DMato104;Mat232
108434342-75;Arthur C A Couto;ACout108;Cou435
058965750-71;Petrônio F G Freire;PFrei058;Fre734
081047498-58;Renato B E Leão;RLeão081;Leã158
094477979-93;Geovanna A C Cruz;GCruz094;Cru447
114139635-13;Carlos E D Ritschel;CRits114;Rit186
058413923-56;Guilherme G D Lutkenhaus;GLutk058;Lut751
062989695-91;Dario D D Viçoso;DViço062;Viç754
091003360-46;Davi B E Braga;DBrag091;Bra621
045588349-12;Davi E B Santos;DSant045;San737
051440680-28;Guilherme F A Gomes;GGome051;Gom520
092633656-11;Fabio B C Neves;FNeve092;Nev353
074148339-44;Carlos B A Ramos;CRamo074;Ram186
043259485-98;Leonardo F F Borges;LBorg043;Bor294
086932680-25;Stephanie E A Cruz;SCruz086;Cru157
093700397-89;Renato G G Neves;RNeve093;Nev354
091882137-93;Stephany C E Borges;SBorg091;Bor898
083074074-12;Eric F C Fraga;EFrag083;Fra236
109950564-18;Ítalo D D Leão;ÍLeão109;Leã360
112632279-19;Matheus E A Souza;MSouz112;Sou890
043285593-20;Vinicius G G Vianna;VVian043;Via574
049170731-94;Leonardo E D Fernandes;LFern049;Fer169
043465464-38;Daniel A D Guerra;DGuer043;Gue322
072850380-88;Ronilson D D Lacerda;RLace072;Lac521
111202820-76;Arthur C C Braga;ABrag111;Bra360
045689871-64;Clarissa B A Lima;CLima045;Lim493
042338598-06;Dario D E Cruz;DCruz042;Cru557
102886837-20;Arthur B C Ritschel;ARits102;Rit437
104585336-21;Lucas A B Oliveira;LOliv104;Oli366
079542464-59;Erckson A A Leite;ELeit079;Lei805
080355649-97;Albert B B Vianna;AVian080;Via357
086546066-56;Clarissa C A Ritschel;CRits086;Rit444
048775105-40;Erik G A Braga;EBrag048;Bra323
061234857-43;Helena E E Batista;HBati061;Bat933
084043179-15;Larissa D D Nunes;LNune084;Nun588
077687507-76;Fabio A A Mozany;FMoza077;Moz232
047262765-77;Ana G G Matos;AMato047;Mat397
086109159-01;Felipe G B Lutkenhaus;FLutk086;Lut184
085586256-04;Davi G B Pires;DPire085;Pir574
084031195-27;Joao E A Moreira;JMore084;Mor153
087347475-87;Renato A F Ritschel;RRits087;Rit587
072107834-36;Erckson D D Mayrink;EMayr072;May290
083965505-95;Stephany F G Nunes;SNune083;Nun759
059889689-05;Davi E F Guimarães;DGuim059;Gui452
114336486-01;Felipe G G Oliveira;FOliv114;Oli834
113547606-76;Arthur A C Borges;ABorg113;Bor146
058730571-98;Albert G G Abdalla;AAbda058;Abd554
101419172-20;Ian E D Lima;ILima101;Lim243
069252819-79;Davi F D Freire;DFrei069;Fre711
054833883-69;Ronilson D E Pinho;RPinh054;Pin361
103766590-13;Leonardo F A Campos;LCamp103;Cam599
097747605-79;Daniel G A Batista;DBati097;Bat238
091855797-52;Matheus D G Leite;MLeit091;Lei198
062929960-26;Ana C D Souza;ASouz062;Sou642
072455525-88;Stephany G F Nascimento;SNasc072;Nas143
045535875-91;Petrônio C F Lima;PLima045;Lim984
076317039-13;Stephany E A Guerra;SGuer076;Gue297
097795768-20;Albert B A Amaral;AAmar097;Ama319
067328666-16;Petrônio B A Guimarães;PGuim067;Gui991
093485049-90;Albert D D Souza;ASouz093;Sou102
103735217-55;Davi G G Pinho;DPinh103;Pin455
087126354-75;Raissa F G Souza;RSouz087;Sou431
054406358-61;Raissa D F Lutkenhaus;RLutk054;Lut670
049552668-66;Guilherme D D Braga;GBrag049;Bra677
110224535-53;Eric C C Assis;EAssi110;Ass590
091053396-32;Lucas G F Neves;LNeve091;Nev141
047548667-23;Ian E B Soares;ISoar047;Soa774
071338800-79;Albert G A Borges;ABorg071;Bor852
076092323-18;Felipe D F Souza;FSouz076;Sou635
085085714-90;Luis A B Viçoso;LViço085;Viç765
061671651-10;Guilherme C F Pires;GPire061;Pir745
064690301-35;Gustavo E G Abdalla;GAbda064;Abd237
050418253-56;Raissa C A Ritschel;RRits050;Rit566
094595998-22;Felipe A E Lacerda;FLace094;Lac551
091017725-15;Luis G E Leite;LLeit091;Lei105
093389557-86;Hugo D D Viçoso;HViço093;Viç440
043235310-00;Raissa B G Oliveira;ROliv043;Oli821
086980324-37;Ronilson E G Neves;RNeve086;Nev171
057373661-49;Joao A C Freire;JFrei057;Fre904
058949371-45;Erckson G C Leão;ELeão058;Leã582
053835843-13;Larissa G E Matos;LMato053;Mat940
073471776-26;Guilherme F B Viçoso;GViço073;Viç391
058725789-22;Erik D D Guerra;EGuer058;Gue662
079496054-26;Helena A B Leite;HLeit079;Lei914
068658887-50;Gustavo B A Moreira;GMore068;Mor604
059067129-35;Luis G D Gomes;LGome059;Gom801
057493286-51;Geovanna C D Batista;GBati057;Bat931
111214743-00;Petrônio B D Moreira;PMore111;Mor811
060490098-05;Gabriel E F Cruz;GCruz060;Cru613
077649381-88;Maria D G Mozany;MMoza077;Moz102
082503672-12;Erik D E Viçoso;EViço082;Viç371
097048893-25;Eric C E Leite;ELeit097;Lei381
093098653-07;Raissa G F Assis;RAssi093;Ass921
060267138-46;Weslley C F Cruz;WCruz060;Cru342
099228087-95;Hugo B B Abdalla;HAbda099;Abd290
067069321-26;Erckson F B Silva;ESilv067;Sil526
102016441-15;Arthur F F Souza;ASouz102;Sou108
113991883-01;Dario G C Mozany;DMoza113;Moz756
053212589-30;Felipe C A Campos;FCamp053;Cam988
101228586-68;Arthur E E Lacerda;ALace101;Lac281
097949116-83;Ítalo F G Cruz;ÍCruz097;Cru700
087813828-69;Maria F G Guerra;MGuer087;Gue372
096109473-16;Joao F C Alves;JAlve096;Alv241
061269408-94;Fabio F D Ritschel;FRits061;Rit962
076206564-64;Pedro F F Campos;PCamp076;Cam881
086894069-38;Erik A D Leão;ELeão086;Leã658
054369529-58;Eric C G Gomes;EGome054;Gom180
101030113-49;Matheus C A Nunes;MNune101;Nun271
104732791-28;Ronilson D D Campos;RCamp104;Cam657
089750094-96;Erik G F Leão;ELeão089;Leã561
063622012-43;Ian C A Leão;ILeão063;Leã642
081549929-45;Felipe E B Couto;FCout081;Cou237
062239458-39;Joao C A Santos;JSant062;San323
074964656-34;Eric A B Couto;ECout074;Cou439
040863647-39;Clarissa A C Soares;CSoar040;Soa475
089818193-98;Carlos E B Pinho;CPinh089;Pin320
059011016-91;Joao D E Pinho;JPinh059;Pin494
084743598-77;Ian C F Moreira;IMore084;Mor466
101181220-50;Maria A B Nunes;MNune101;Nun132
076609418-38;Geovanna B C Couto;GCout076;Cou516
103055343-69;Stephany G B Ritschel;SRits103;Rit802
065770631-93;Daniel F B Mayrink;DMayr065;May331
045547033-52;Matheus E E Abdalla;MAbda045;Abd269
089856196-05;Stephany D C Matos;SMato089;Mat230
058104666-92;Guilherme D D Ramos;GRamo058;Ram163
096198489-15;Ian G A Neves;INeve096;Nev509
101331764-03;Matheus B E Lacerda;MLace101;Lac646
111842737-13;Erckson C B Alves;EAlve111;Alv905
048279429-93;Felipe E F Batista;FBati048;Bat210
086732266-19;Helena G B Couto;HCout086;Cou693
103096205-54;Joao C G Freire;JFrei103;Fre677
072347804-01;Luis G C Matos;LMato072;Mat529
054780759-77;Renato A E Mayrink;RMayr054;May850
109097399-74;Arthur B F Abdalla;AAbda109;Abd484
065690089-82;Guilherme B E Souza;GSouz065;Sou220
105901998-09;Gabriel E B Mayrink;GMayr105;May885
062873600-97;Arthur E D Fernandes;AFern062;Fer853
059875830-37;Felipe D B Santos;FSant059;San682
057339346-83;Petrônio E G Alves;PAlve057;Alv319
065578084-45;Larissa A C Lima;LLima065;Lim951
054715063-49;Maria G B Leão;MLeão054;Leã765
069947851-93;Raissa A G Matos;RMato069;Mat331
098634409-61;Arthur C F Guimarães;AGuim098;Gui547
104533199-88;Erckson B A Abdalla;EAbda104;Abd461
051522987-93;Davi F C Freire;DFrei051;Fre232
055001598-84;Lucas D G Assis;LAssi055;Ass992
090458361-67;Ian F C Fraga;IFrag090;Fra552
086629041-05;Stephany A D Souza;SSouz086;Sou731
088939737-08;Maria D B Nunes;MNune088;Nun173
100825971-54;Matheus A D Leite;MLeit100;Lei151
076964649-30;Ítalo B A Leite;ÍLeit076;Lei994
061875782-66;Pedro A G Souza;PSouz061;Sou216
091940789-98;Geovanna F A Cruz;GCruz091;Cru819
065151370-40;Matheus D B Mozany;MMoza065;Moz381
081713549-20;Arthur C E Ritschel;ARits081;Rit507
063134031-85;Felipe F F Santos;FSant063;San723
106550347-13;Geovanna D E Leão;GLeão106;Leã368
070960715-11;Larissa G D Mayrink;LMayr070;May997
050139232-87;Weslley D F Guerra;WGuer050;Gue771
069058638-39;Joao C C Cruz;JCruz069;Cru382
058447222-82;Ana B G Leão;ALeão058;Leã390
086508993-23;Hugo A E Ramos;HRamo086;Ram367
074276061-56;Arthur D C Vianna;AVian074;Via116
066605100-86;Arthur G B Leão;ALeão066;Leã729
099654215-89;Carlos B D Oliveira;COliv099;Oli312
057952121-78;Erik A E Guimarães;EGuim057;Gui110
087787827-77;Gabriel F F Ritschel;GRits087;Rit847
102817533-42;Geovanna F F Assis;GAssi102;Ass159
093771478-68;Luis E B Oliveira;LOliv093;Oli289
080069551-87;Davi A A Ramos;DRamo080;Ram721
065431047-84;Davi G B Batista;DBati065;Bat672
095885286-79;Ana C E Nunes;ANune095;Nun496
044797565-92;Luis F E Cruz;LCruz044;Cru540
055760028-70;Petrônio A E Braga;PBrag055;Bra630
109439946-34;Weslley A B Lima;WLima109;Lim553
113949069-12;Clarissa G A Batista;CBati113;Bat330
071084295-47;Albert D E Leite;ALeit071;Lei436
065912048-13;Ítalo A E Freire;ÍFrei065;Fre134
113455783-49;Luis E F Matos;LMato113;Mat157
055337466-82;Larissa G D Leão;LLeão055;Leã973
107575689-27;Erik F G Neves;ENeve107;Nev863
064414497-52;Larissa A D Nascimento;LNasc064;Nas574
061369267-09;Lucas C A Lutkenhaus;LLutk061;Lut150
101864686-71;Lucas G A Soares;LSoar101;Soa170
043782685-88;Hugo B D Freire;HFrei043;Fre397
073903941-09;Ana E F Pires;APire073;Pir715
107343542-30;Helena C E Gomes;HGome107;Gom302
068671696-82;Stephany E E Fraga;SFrag068;Fra301
069452523-39;Carlos F A Campos;CCamp069;Cam496
051098032-25;Felipe E A Souza;FSouz051;Sou129
083436380-37;Raissa A D Nunes;RNune083;Nun259
053987314-55;Vinicius E D Gomes;VGome053;Gom415
087985545-60;Erckson A C Matos;EMato087;Mat749
064356054-03;Helena B A Nascimento;HNasc064;Nas392
074486863-16;Matheus B A Lima;MLima074;Lim148
040634497-50;Eric E B Leite;ELeit040;Lei472
102772374-06;Petrônio F F Ritschel;PRits102;Rit723
083127263-42;Davi B E Borges;DBorg083;Bor827
069437601-61;Vinicius A G Oliveira;VOliv069;Oli763
075132620-42;Gustavo C D Borges;GBorg075;Bor722
057662683-47;Ítalo B A Leão;ÍLeão057;Leã415
067248331-14;Pedro E C Lutkenhaus;PLutk067;Lut556
105577643-80;Erik A G Oliveira;EOliv105;Oli321
044973079-17;Ronilson F C Fraga;RFrag044;Fra747
055702128-51;Erik G F Vianna;EVian055;Via876
064952027-68;Davi D F Vianna;DVian064;Via108
044384624-84;Carlos E B Mayrink;CMayr044;May878
085124270-71;Lucas A B Assis;LAssi085;Ass241
049964435-02;Pedro E F Lacerda;PLace049;Lac511
110072711-33;Felipe F D Souza;FSouz110;Sou493
110896034-38;Ian A F Silva;ISilv110;Sil312
043067294-93;Erik A G Mozany;EMoza043;Moz614
052413691-38;Ítalo A G Viçoso;ÍViço052;Viç572
078070634-57;Arthur F E Santos;ASant078;San347
072667239-46;Davi G G Oliveira;DOliv072;Oli208
061858712-78;Eric G A Guerra;EGuer061;Gue858
051129716-17;Leonardo D E Ramos;LRamo051;Ram933
096884900-41;Hugo E G Mayrink;HMayr096;May457
056450959-39;Carlos G F Couto;CCout056;Cou671
108066036-98;Erik D D Batista;EBati108;Bat823
079282952-15;Matheus D B Oliveira;MOliv079;Oli861
074037447-16;Geovanna B A Lima;GLima074;Lim515
066310845-03;Helena C F Campos;HCamp066;Cam568
085435292-05;Ian B D Neves;INeve085;Nev844
110939736-65;Joao D B Nunes;JNune110;Nun524
066863220-70;Geovanna G B Assis;GAssi066;Ass568
102534692-10;Felipe D D Batista;FBati102;Bat767
069902626-96;Ronilson E A Lima;RLima069;Lim735
044440844-95;Erik F F Ritschel;ERits044;Rit995
047815108-55;Dario D B Mayrink;DMayr047;May848
073056291-68;Gabriel G A Santos;GSant073;San402
107027451-99;Leonardo B F Freire;LFrei107;Fre767
055478446-49;Fabio G E Oliveira;FOliv055;Oli112
087805508-49;Erik A E Neves;ENeve087;Nev881
082112645-42;Erik A A Moreira;EMore082;Mor686
086661460-89;Matheus D E Amaral;MAmar086;Ama217
103961325-46;Hugo B F Soares;HSoar103;Soa400
040701714-90;Gustavo F A Lacerda;GLace040;Lac800
102026618-13;Gabriel E E Lima;GLima102;Lim732
079702834-36;Daniel D C Moreira;DMore079;Mor668
100430983-95;Carlos G A Matos;CMato100;Mat937
097559663-13;Ana F A Campos;ACamp097;Cam122
046006240-25;Larissa D A Nunes;LNune046;Nun624
082130476-22;Petrônio B E Batista;PBati082;Bat975
079044090-76;Petrônio D C Borges;PBorg079;Bor491
050506146-98;Felipe B B Souza;FSouz050;Sou158
102925599-21;Lucas C B Mayrink;LMayr102;May863
108844201-38;Larissa A F Moreira;LMore108;Mor580
088690993-02;Vinicius A D Leite;VLeit088;Lei275
069107802-27;Davi A D Santos;DSant069;San843
072052705-72;Arthur E F Santos;ASant072;San393
071894090-94;Erckson D E Souza;ESouz071;Sou468
059334134-00;Gabriel B A Ritschel;GRits059;Rit994
111641362-39;Eric F E Matos;EMato111;Mat872
113298212-76;Ronilson G B Leão;RLeão113;Leã994
075012514-16;Gabriel F F Alves;GAlve075;Alv911
102841181-69;Arthur C E Pires;APire102;Pir641
095489244-90;Hugo A D Cruz;HCruz095;Cru558
050748721-53;Luis B B Ritschel;LRits050;Rit601
090279662-42;Gustavo E A Moreira;GMore090;Mor552
106091668-84;Gabriel G F Leite;GLeit106;Lei690
064415640-09;Arthur B A Lima;ALima064;Lim787
090610612-11;Felipe A E Abdalla;FAbda090;Abd977
058515781-40;Lucas B F Pinho;LPinh058;Pin638
084934594-62;Stephanie A C Freire;SFrei084;Fre248
070963186-33;Helena C G Nascimento;HNasc070;Nas147
057905962-84;Lucas C F Cruz;LCruz057;Cru382
089877694-84;Eric B C Mayrink;EMayr089;May420
077939878-97;Carlos D G Couto;CCout077;Cou353
057306346-10;Carlos G D Borges;CBorg057;Bor769
074262405-88;Joao A D Freire;JFrei074;Fre685
056267748-71;Erik F C Alves;EAlve056;Alv663
091604026-67;Ana C D Freire;AFrei091;Fre514
099888842-71;Matheus D A Campos;MCamp099;Cam579
079009560-90;Stephany A B Pires;SPire079;Pir500
112411310-26;Ronilson E C Abdalla;RAbda112;Abd385
059592137-84;Ítalo G E Ritschel;ÍRits059;Rit890
097499208-52;Lucas B C Freire;LFrei097;Fre221
050073502-88;Daniel B B Santos;DSant050;San518
042753985-91;Helena B E Lacerda;HLace042;Lac821
047553613-50;Hugo F E Fernandes;HFern047;Fer753
056908937-99;Ana E E Viçoso;AViço056;Viç834
044001161-59;Erik F C Couto;ECout044;Cou922
091010025-74;Arthur G F Mayrink;AMayr091;May277
078614089-92;Ítalo D C Moreira;ÍMore078;Mor883
058665222-59;Albert D C Fraga;AFrag058;Fra840
087445747-23;Clarissa D G Lima;CLima087;Lim469
060604200-40;Daniel C F Ramos;DRamo060;Ram873
067677846-26;Matheus A G Lutkenhaus;MLutk067;Lut270
062938208-37;Renato B D Pinho;RPinh062;Pin568
067263625-01;Hugo B F Fraga;HFrag067;Fra217
069096453-83;Raissa C C Campos;RCamp069;Cam542
106822196-99;Maria E F Guimarães;MGuim106;Gui410
089247434-22;Pedro C B Campos;PCamp089;Cam900
094992482-05;Gustavo B E Couto;GCout094;Cou425
071123927-42;Arthur C D Soares;ASoar071;Soa463
114549413-90;Erckson D D Souza;ESouz114;Sou701
046980184-32;Lucas B F Braga;LBrag046;Bra510
072631894-21;Larissa D G Souza;LSouz072;Sou155
100192556-13;Ronilson E A Pires;RPire100;Pir474
047845284-02;Arthur E F Moreira;AMore047;Mor527
098850590-86;Joao A A Pires;JPire098;Pir951
096722913-18;Joao G C Leite;JLeit096;Lei147
067518105-58;Renato G D Freire;RFrei067;Fre357
091279349-13;Gustavo B G Guerra;GGuer091;Gue224
105000272-67;Eric G C Amaral;EAmar105;Ama646
112740640-66;Clarissa D F Moreira;CMore112;Mor228
075129928-19;Davi E C Couto;DCout075;Cou413
096392346-83;Arthur F C Vianna;AVian096;Via264
069700932-20;Larissa B B Guimarães;LGuim069;Gui615
111043695-89;Petrônio C E Pinho;PPinh111;Pin177
094889456-14;Clarissa E A Leão;CLeão094;Leã247
075117727-14;Dario B C Matos;DMato075;Mat737
053793225-17;Maria B A Guerra;MGuer053;Gue629
108827470-64;Vinicius F B Viçoso;VViço108;Viç655
111344599-89;Stephany G E Batista;SBati111;Bat554
040640485-43;Raissa F C Lacerda;RLace040;Lac583
059560119-20;Ana A F Pinho;APinh059;Pin925
092758225-37;Helena C G Neves;HNeve092;Nev371
041272317-44;Felipe G F Batista;FBati041;Bat310
091437219-17;Hugo C E Pinho;HPinh091;Pin755
096833909-13;Ítalo D E Lacerda;ÍLace096;Lac330
100412155-47;Fabio D F Lima;FLima100;Lim806
109918975-46;Erckson E B Abdalla;EAbda109;Abd839
061948675-07;Geovanna F E Pires;GPire061;Pir893
062947133-64;Vinicius G D Campos;VCamp062;Cam201
093829302-02;Stephany C G Braga;SBrag093;Bra291
059001261-04;Leonardo E A Borges;LBorg059;Bor626
100337897-63;Ítalo E F Oliveira;ÍOliv100;Oli234
114555296-39;Clarissa D C Vianna;CVian114;Via792
051930828-96;Gustavo E D Amaral;GAmar051;Ama120
090860598-25;Fabio F D Oliveira;FOliv090;Oli648
048726429-46;Vinicius D C Fernandes;VFern048;Fer985
077767356-94;Arthur F C Mozany;AMoza077;Moz993
049547848-75;Felipe E E Guimarães;FGuim049;Gui346
046455702-59;Helena G E Campos;HCamp046;Cam115
096627589-16;Eric G D Braga;EBrag096;Bra227
077151480-02;Ronilson F F Abdalla;RAbda077;Abd318
054599688-15;Helena C G Lima;HLima054;Lim757
114197178-65;Petrônio E C Cruz;PCruz114;Cru879
048181121-67;Weslley C F Lutkenhaus;WLutk048;Lut185
053774243-78;Arthur D G Ritschel;ARits053;Rit496
086187859-71;Joao E G Lutkenhaus;JLutk086;Lut500
051025532-46;Arthur E C Abdalla;AAbda051;Abd387
113356041-38;Maria D G Freire;MFrei113;Fre276
113273410-68;Felipe C B Neves;FNeve113;Nev470
050990928-07;Leonardo D A Vianna;LVian050;Via517
053851066-78;Vinicius E D Mozany;VMoza053;Moz129
070885185-80;Pedro A B Lacerda;PLace070;Lac484
075281673-14;Ronilson A D Neves;RNeve075;Nev385
080114851-78;Joao D A Alves;JAlve080;Alv894
079035125-90;Joao E E Nascimento;JNasc079;Nas563
096936466-30;Geovanna E G Vianna;GVian096;Via517
040037647-13;Geovanna C C Amaral;GAmar040;Ama234
091673928-51;Lucas A F Silva;LSilv091;Sil758
071085778-80;Raissa G E Pires;RPire071;Pir194
096499949-04;Ian D G Gomes;IGome096;Gom363
114327728-20;Joao D A Gomes;JGome114;Gom214
047430332-35;Ian F G Soares;ISoar047;Soa624
092102487-73;Gustavo F E Couto;GCout092;Cou543
086666759-76;Erckson F A Gomes;EGome086;Gom421
110959652-11;Dario G A Pinho;DPinh110;Pin383
046016126-47;Weslley F A Leite;WLeit046;Lei957
048773222-66;Gabriel G A Ramos;GRamo048;Ram478
096095468-13;Ronilson E E Vianna;RVian096;Via876
087839822-03;Pedro D E Fernandes;PFern087;Fer467
050903563-82;Luis D G Lima;LLima050;Lim261
101502144-31;Guilherme D B Lima;GLima101;Lim269
041869705-05;Daniel D A Braga;DBrag041;Bra719
104456013-46;Pedro D A Alves;PAlve104;Alv950
064247243-07;Ian C C Vianna;IVian064;Via310
043897120-38;Arthur E C Ramos;ARamo043;Ram321
086071870-68;Lucas G E Mozany;LMoza086;Moz343
046654145-30;Ítalo C D Batista;ÍBati046;Bat171
081166775-80;Helena A B Assis;HAssi081;Ass626
061114268-82;Helena B C Lima;HLima061;Lim233
078277844-00;Raissa B A Cruz;RCruz078;Cru724
078365797-90;Geovanna E F Ritschel;GRits078;Rit502
044039768-70;Lucas D B Pinho;LPinh044;Pin105
049218095-08;Joao C G Mozany;JMoza049;Moz545
111074215-75;Hugo F A Cruz;HCruz111;Cru989
050126408-67;Helena E A Silva;HSilv050;Sil219
060442708-60;Ian G A Ramos;IRamo060;Ram377
100239159-01;Larissa D G Soares;LSoar100;Soa718
054363691-64;Arthur E A Couto;ACout054;Cou219
113678620-51;Clarissa B E Leite;CLeit113;Lei752
113086410-43;Daniel D G Batista;DBati113;Bat510
050384935-18;Geovanna G G Cruz;GCruz050;Cru671
111885346-52;Felipe A B Silva;FSilv111;Sil851
040098502-03;Lucas C D Moreira;LMore040;Mor739
044198228-68;Gabriel C E Leite;GLeit044;Lei788
086697219-74;Raissa A G Freire;RFrei086;Fre375
062301545-64;Petrônio B B Pinho;PPinh062;Pin694
054371517-85;Arthur G E Gomes;AGome054;Gom295
046203283-55;Pedro B D Mayrink;PMayr046;May431
049689627-66;Felipe F C Borges;FBorg049;Bor890
052452196-77;Clarissa G C Souza;CSouz052;Sou727
044213414-05;Eric E A Campos;ECamp044;Cam778
071978340-57;Vinicius E A Lima;VLima071;Lim658
084564996-26;Eric C E Braga;EBrag084;Bra357
070805224-43;Ítalo D A Soares;ÍSoar070;Soa978
102905082-78;Petrônio C E Gomes;PGome102;Gom557
108023720-31;Carlos E G Neves;CNeve108;Nev531
106939875-15;Arthur C F Mozany;AMoza106;Moz252
107942181-75;Gabriel D G Ramos;GRamo107;Ram368
068692182-85;Dario G E Souza;DSouz068;Sou270
090464338-50;Fabio F F Cruz;FCruz090;Cru543
078704882-69;Raissa D A Borges;RBorg078;Bor256
098845805-54;Larissa F C Campos;LCamp098;Cam473
068989146-44;Petrônio G F Freire;PFrei068;Fre246
087711683-43;Guilherme A F Assis;GAssi087;Ass658
104839045-19;Fabio G C Souza;FSouz104;Sou294
050530264-57;Stephanie C E Oliveira;SOliv050;Oli389
082413087-97;Renato D G Guimarães;RGuim082;Gui265
046823777-82;Maria G B Cruz;MCruz046;Cru590
096678163-94;Stephanie A E Vianna;SVian096;Via961
043694944-66;Fabio G A Freire;FFrei043;Fre704
042192625-49;Guilherme E F Matos;GMato042;Mat515
060847871-52;Maria G C Ramos;MRamo060;Ram510
091161381-33;Carlos E G Amaral;CAmar091;Ama275
078733066-26;Leonardo G D Gomes;LGome078;Gom703
094726732-73;Carlos B C Moreira;CMore094;Mor221
045659886-67;Erik F F Lutkenhaus;ELutk045;Lut424
106854900-97;Arthur F A Pinho;APinh106;Pin618
101297969-29;Maria D E Mayrink;MMayr101;May902
093754756-28;Ronilson C D Lima;RLima093;Lim323
055209118-36;Fabio B F Guimarães;FGuim055;Gui239
061778421-80;Maria G D Souza;MSouz061;Sou462
112968778-22;Eric E G Couto;ECout112;Cou457
086914040-34;Leonardo B G Campos;LCamp086;Cam189
098489177-37;Erckson F G Ritschel;ERits098;Rit317
066440068-03;Arthur C B Nascimento;ANasc066;Nas679
051324052-39;Felipe G C Lima;FLima051;Lim195
065241899-37;Raissa E F Couto;RCout065;Cou826
097856718-41;Gabriel A B Fraga;GFrag097;Fra257
081638603-42;Petrônio A G Moreira;PMore081;Mor506
067477978-52;Fabio F F Gomes;FGome067;Gom265
077088189-88;Daniel B G Guerra;DGuer077;Gue684
070455606-23;Weslley D D Moreira;WMore070;Mor900
077977152-05;Lucas C E Mayrink;LMayr077;May583
085514007-09;Matheus C A Guerra;MGuer085;Gue143
060839542-04;Eric B F Ramos;ERamo060;Ram752
103918253-84;Pedro A B Vianna;PVian103;Via888
097065473-91;Arthur A F Oliveira;AOliv097;Oli485
096249888-21;Ana F G Gomes;AGome096;Gom576
050749868-34;Stephanie A E Guimarães;SGuim050;Gui344
084670121-45;Clarissa G B Pinho;CPinh084;Pin814
084871266-26;Davi C E Lutkenhaus;DLutk084;Lut430
058340827-64;Matheus C D Leite;MLeit058;Lei939
046866080-68;Joao A B Silva;JSilv046;Sil183
097237133-18;Albert G D Neves;ANeve097;Nev594
072690066-45;Arthur E F Viçoso;AViço072;Viç156
071103229-07;Gustavo E A Lima;GLima071;Lim699
045991650-80;Ana E B Leão;ALeão045;Leã270
059942188-11;Felipe C B Fernandes;FFern059;Fer620
050977404-56;Pedro D G Alves;PAlve050;Alv801
072924348-51;Erik A E Leite;ELeit072;Lei909
090910560-23;Joao E B Gomes;JGome090;Gom507
093410573-79;Joao E A Lacerda;JLace093;Lac237
068628772-86;Helena E A Neves;HNeve068;Nev111
106694600-17;Fabio C F Souza;FSouz106;Sou771
056588180-38;Gustavo E D Pinho;GPinh056;Pin434
085162597-26;Ronilson F E Amaral;RAmar085;Ama365
043833902-28;Joao D F Souza;JSouz043;Sou935
089674829-42;Geovanna G B Leite;GLeit089;Lei839
075530192-03;Stephany D E Gomes;SGome075;Gom196
048432717-44;Ana F B Lutkenhaus;ALutk048;Lut129
081536858-38;Ítalo C B Cruz;ÍCruz081;Cru173
059254490-38;Ana G G Oliveira;AOliv059;Oli398
083786443-42;Eric A D Campos;ECamp083;Cam481
